clave,contenido
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_34_ul_4_li_16_a_18,Teams
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_34_ul_4_li_17_a_19,Startups
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_35_span_9,By industry
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_35_ul_5_li_18_a_20,Healthcare
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_35_ul_5_li_19_a_21,Financial services
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_35_ul_5_li_20_a_22,Manufacturing
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_36_span_10,By use case
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_36_ul_6_li_21_a_23,CI/CD & Automation
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_36_ul_6_li_22_a_24,DevOps
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_36_ul_6_li_23_a_25,DevSecOps
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_24_div_37_div_38_span_11,Topics
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_24_div_37_div_38_ul_7_li_25_a_26,AI
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_24_div_37_div_38_ul_7_li_26_a_27,DevOps
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_24_div_37_div_38_ul_7_li_27_a_28,Security
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_24_div_37_div_38_ul_7_li_28_a_29,Software Development
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_24_div_37_div_39_span_12,Explore
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_24_div_37_div_39_ul_8_li_31_a_32,Customer Stories
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_33_div_40_div_41_ul_9_li_34_a_34_div_42_div_43,GitHub Sponsors
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_33_div_40_div_44_ul_10_li_35_a_35_div_45_div_46,The ReadME Project
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_33_div_40_div_47_span_13,Repositories
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_33_div_40_div_47_ul_11_li_36_a_36,Topics
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_33_div_40_div_47_ul_11_li_37_a_37,Trending
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_33_div_40_div_47_ul_11_li_38_a_38,Collections
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_39_div_48_div_49_ul_12_li_40_a_39_div_50_div_51,Enterprise platform
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_39_div_48_div_52_span_14,Available add-ons
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_39_div_48_div_52_ul_13_li_41_a_40_div_53_div_54,Advanced Security
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_39_div_48_div_52_ul_13_li_42_a_41_div_55_div_56,GitHub Copilot
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_39_div_48_div_52_ul_13_li_43_a_42_div_57_div_58,Premium Support
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_44_a_43,Pricing
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_60_button_9_span_15,Search or jump to...
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_60_div_63_modal-dialog_1_h1_1,"Search code, repositories, users, issues, pull requests..."
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_60_div_63_modal-dialog_1_div_64_div_65_div_66_form_1_query-builder_1_div_67_label_1,Search
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_60_div_63_modal-dialog_1_div_64_div_65_div_66_form_1_query-builder_1_div_67_div_68_span_17,Clear
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_60_div_63_modal-dialog_1_div_64_div_65_div_66_div_76_a_44,Search syntax tips
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_dialog-helper_1_dialog_1_div_80_div_81_div_82_h1_2,Provide feedback
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_dialog-helper_1_dialog_1_scrollable-region_1_div_84_form_2_p_1,"We read every piece of feedback, and take your input very seriously."
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_dialog-helper_1_dialog_1_scrollable-region_1_div_84_form_2_label_2,Include my email address so I can be contacted
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_dialog-helper_1_dialog_1_div_85_button_12,Cancel
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_dialog-helper_1_dialog_1_div_85_button_13,Submit feedback
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_custom-scopes_1_dialog-helper_2_dialog_2_div_86_div_87_div_88_h1_3,Saved searches
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_custom-scopes_1_dialog-helper_2_dialog_2_div_86_div_87_div_88_h2_2,Use saved searches to filter your results more quickly
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_custom-scopes_1_dialog-helper_2_dialog_2_scrollable-region_2_div_90_div_92_form_3_input_5_div_94_label_3,Name
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_custom-scopes_1_dialog-helper_2_dialog_2_scrollable-region_2_div_90_div_92_form_3_input_5_div_95_label_4,Query
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_custom-scopes_1_dialog-helper_2_dialog_2_scrollable-region_2_div_90_div_92_form_3_input_5_p_2_a_45,documentation
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_custom-scopes_1_dialog-helper_2_dialog_2_div_98_button_15,Cancel
div_1_div_2_header_1_div_5_div_12_div_13_div_59_qbsearch-input_1_div_79_custom-scopes_1_dialog-helper_2_dialog_2_div_98_button_16,Create saved search
div_1_div_2_header_1_div_5_div_12_div_13_div_59_div_99_a_46,Sign in
div_1_div_2_header_1_div_5_div_12_div_13_div_59_a_47,Sign up
div_1_div_2_div_100_span_20_a_48,Reload
div_1_div_2_div_100_span_21_a_49,Reload
div_1_div_2_div_100_span_22_a_50,Reload
div_1_div_2_div_100_tool-tip_1,Dismiss alert
div_101_div_102_template_35_div_103_div_104_div_105_div_106,{{ message }}
div_106_div_107_main_1_div_108_span_23_span_24_span_25,What is GitHub Copilot?
div_106_div_107_main_1_div_112_div_114_div_115_div_116_div_124_h1_4_span_28,Let’s build from here
div_106_div_107_main_1_div_112_div_114_div_115_div_116_div_124_p_3,The world’s leading AI-powered developer platform.
div_106_div_107_main_1_div_112_div_114_div_115_div_116_div_124_div_126_label_5,Email address
div_106_div_107_main_1_div_112_div_114_div_115_div_116_div_124_div_126_div_127_form_4_div_128_button_21,Sign up for GitHub
div_106_div_107_main_1_div_112_div_114_div_115_div_116_div_124_div_130_p_4,Trusted by the world’s leading organizations ↘︎
div_106_div_107_main_1_div_135_div_136_div_137_div_138_a_52,Productivity
div_106_div_107_main_1_div_135_div_136_div_137_div_138_a_53,Security
div_106_div_107_main_1_div_135_div_136_div_137_div_138_a_54,Collaboration
div_106_div_107_main_1_div_140_div_141_div_142_div_146_h2_3,Productivity
div_106_div_107_main_1_div_140_div_141_div_142_div_146_h3_1_span_30,Accelerate innovation
div_106_div_107_main_1_div_140_div_141_div_148_img_13_div_151_div_152_div_153_div_154_h2_4_em_1,GitHub Copilot
div_106_div_107_main_1_div_140_div_141_div_148_img_13_div_151_div_160_div_161_div_162_span_31,Did you know?
div_106_div_107_main_1_div_140_div_141_div_148_img_13_div_151_div_160_div_161_h3_2,22% increase
div_106_div_107_main_1_div_140_div_141_div_148_img_13_div_151_div_160_div_161_p_5,in developer productivity after three years with GitHub
div_106_div_107_main_1_div_140_div_141_div_163_card-skew_1_div_164_div_165_p_6_em_2,GitHub Actions
div_106_div_107_main_1_div_140_div_141_div_169_div_170_card-skew_2_div_171_div_172_p_7_em_3,GitHub Codespaces
div_106_div_107_main_1_div_140_div_141_div_169_div_176_card-skew_3_div_177_div_178_p_8_em_4,GitHub Mobile and Copilot
div_106_div_107_main_1_div_184_div_185_div_186_div_190_h2_5,Application security
div_106_div_107_main_1_div_184_div_185_div_186_div_190_h3_3_span_33,Empower developers
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_192_div_193,cmake.yml
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_192_span_34,on: push
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_195_div_196_ul_15_li_45_div_197_span_35,Build
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_195_div_196_ul_15_li_45_span_36,1m 21s
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_202_div_203,Steps
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_202_div_204_ul_16_li_46_div_205_span_37,Initialize CodeQL
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_202_div_204_ul_16_li_46_span_38,1m 42s
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_202_div_204_ul_16_li_47_div_206_span_39,Autobuild
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_202_div_204_ul_16_li_47_span_40,1m 24s
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_202_div_204_ul_16_li_48_div_207_span_41,Perform CodeQL Analyses
div_106_div_107_main_1_div_184_div_185_card-skew_4_div_191_div_194_div_202_div_204_ul_16_li_48_span_42,1m 36s
div_106_div_107_main_1_div_184_div_185_div_209_div_212_div_213_div_214_div_215_h2_6_em_5,GitHub Advanced Security
div_106_div_107_main_1_div_184_div_185_div_209_div_212_div_220_div_221_div_222_span_43,Did you know?
div_106_div_107_main_1_div_184_div_185_div_209_div_212_div_220_div_221_h3_4,7x faster
div_106_div_107_main_1_div_184_div_185_div_209_div_212_div_220_div_221_p_9_sup_1,1
div_106_div_107_main_1_div_184_div_185_div_223_card-skew_5_div_224_div_225_p_10_em_6,Code scanning
div_106_div_107_main_1_div_184_div_185_div_229_div_230_card-skew_6_div_231_div_232_p_11_em_7,Dependabot
div_106_div_107_main_1_div_184_div_185_div_229_div_236_card-skew_7_div_237_div_238_p_12_em_8,Secret scanning
div_106_div_107_main_1_div_244_div_245_div_246_div_250_h2_7,Collaboration
div_106_div_107_main_1_div_244_div_245_div_246_div_250_h3_5_span_45,Supercharge collaboration
div_106_div_107_main_1_div_244_div_245_div_251_div_254_div_255_div_256_div_257_h2_8_em_9,GitHub Issues and GitHub Projects
div_106_div_107_main_1_div_244_div_245_div_251_div_254_div_262_div_263_div_264_span_46,Did you know?
div_106_div_107_main_1_div_244_div_245_div_251_div_254_div_262_div_263_h3_6,80%
div_106_div_107_main_1_div_244_div_245_div_251_div_254_div_262_div_263_p_13_sup_2,2
div_106_div_107_main_1_div_244_div_245_div_265_div_266_card-skew_8_div_267_div_268_p_14_em_10,GitHub Discussions
div_106_div_107_main_1_div_244_div_245_div_265_div_272_card-skew_9_div_273_div_274_p_15_em_11,Pull requests
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_279_p_16_em_12,GitHub Sponsors
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_283_a_70_div_284,curl
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_283_a_70_button_23_span_47_span_49,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_285_a_71_div_286,Homebrew
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_285_a_71_button_24_span_50_span_52,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_287_a_72_div_288,Evan You
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_287_a_72_button_25_span_53_span_55,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_289_a_73_div_290,Samuel
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_289_a_73_button_26_span_56_span_58,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_291_a_74_div_292,kazuya kawaguchi
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_291_a_74_button_27_span_59_span_61,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_293_a_75_div_294,sindresorhus
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_293_a_75_button_28_span_62_span_64,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_295_a_76_div_296,CommandPost
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_295_a_76_button_29_span_65_span_67,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_297_a_77_div_298,Directus
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_297_a_77_button_30_span_68_span_70,Sponsor
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_299_a_78_div_300,ESLint
div_106_div_107_main_1_div_244_div_245_card-skew_10_div_278_div_281_div_282_div_299_a_78_button_31_span_71_span_73,Sponsor
div_106_div_107_main_1_div_302_div_303_div_304_div_309_div_310_h2_9_sup_3,3
div_106_div_107_main_1_div_302_div_303_div_304_div_309_div_310_p_17,"Whether you’re scaling your startup or just learning how to code, GitHub is your home. Join the world’s largest developer platform to build the innovations that empower humanity. Let’s build from here."
div_106_div_107_main_1_div_302_div_303_div_304_div_309_div_311_div_312_label_6,Email address
div_106_div_107_main_1_div_302_div_303_div_304_div_309_div_311_div_312_div_313_form_5_div_314_button_32,Sign up for GitHub
div_106_div_107_main_1_div_302_div_316_div_320_button_33_span_75,Pause
div_106_div_107_main_1_div_302_div_316_div_320_button_33_span_76,Play
div_106_div_107_main_1_div_321_ul_17_li_49_sup_4,1
div_106_div_107_main_1_div_321_ul_17_li_50_sup_5,2
div_106_div_107_main_1_div_321_ul_17_li_51_sup_6,3
div_106_div_107_main_1_div_321_ul_17_li_51_a_80,Read the blog post
div_321_footer_1_h2_10,Site-wide Links
div_321_footer_1_div_322_div_323_section_1_h3_7,Subscribe to our developer newsletter
div_321_footer_1_div_322_div_323_section_1_p_18,"Get tips, technical guides, and best practices. Twice a month. Right in your inbox."
div_321_footer_1_div_322_div_323_section_1_a_82,Subscribe
div_321_footer_1_div_322_div_323_nav_2_h3_8,Product
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_52_a_83,Features
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_53_a_84,Enterprise
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_54_a_85,Copilot
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_55_a_86,Security
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_56_a_87,Pricing
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_57_a_88,Team
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_58_a_89,Resources
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_59_a_90,Roadmap
div_321_footer_1_div_322_div_323_nav_2_ul_18_li_60_a_91,Compare GitHub
div_321_footer_1_div_322_div_323_nav_3_h3_9,Platform
div_321_footer_1_div_322_div_323_nav_3_ul_19_li_61_a_92,Developer API
div_321_footer_1_div_322_div_323_nav_3_ul_19_li_62_a_93,Partners
div_321_footer_1_div_322_div_323_nav_3_ul_19_li_63_a_94,Education
div_321_footer_1_div_322_div_323_nav_3_ul_19_li_64_a_95,GitHub CLI
div_321_footer_1_div_322_div_323_nav_3_ul_19_li_65_a_96,GitHub Desktop
div_321_footer_1_div_322_div_323_nav_3_ul_19_li_66_a_97,GitHub Mobile
div_321_footer_1_div_322_div_323_nav_4_h3_10,Support
div_321_footer_1_div_322_div_323_nav_4_ul_20_li_67_a_98,Docs
div_321_footer_1_div_322_div_323_nav_4_ul_20_li_68_a_99,Community Forum
div_321_footer_1_div_322_div_323_nav_4_ul_20_li_69_a_100,Professional Services
div_321_footer_1_div_322_div_323_nav_4_ul_20_li_70_a_101,Premium Support
div_321_footer_1_div_322_div_323_nav_4_ul_20_li_71_a_102,Skills
div_321_footer_1_div_322_div_323_nav_4_ul_20_li_72_a_103,Status
div_321_footer_1_div_322_div_323_nav_4_ul_20_li_73_a_104,Contact GitHub
div_321_footer_1_div_322_div_323_nav_5_h3_11,Company
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_74_a_105,About
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_75_a_106,Customer stories
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_76_a_107,Blog
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_77_a_108,The ReadME Project
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_78_a_109,Careers
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_79_a_110,Press
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_80_a_111,Inclusion
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_81_a_112,Social Impact
div_321_footer_1_div_322_div_323_nav_5_ul_21_li_82_a_113,Shop
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_83_time_1,2024
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_84_a_114,Terms
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_85_a_115,Privacy
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_85_a_116_time_2,08/2022
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_86_a_117,Sitemap
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_87_a_118,What is Git?
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_88_cookie-consent-link_1_button_34,Manage cookies
div_321_footer_1_div_324_div_325_nav_6_ul_22_li_89_cookie-consent-link_2_button_35,Do not share my personal information
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_90_a_119_span_77,GitHub on X
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_91_a_120_span_78,GitHub on Facebook
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_92_a_121_span_79,GitHub on LinkedIn
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_93_a_122_span_80,GitHub on YouTube
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_94_a_123_svg_116_title_1,Twitch
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_94_a_123_span_81,GitHub on Twitch
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_95_a_124_svg_117_title_2,TikTok
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_95_a_124_span_82,GitHub on TikTok
div_321_footer_1_div_324_div_325_nav_7_ul_23_li_96_a_125_span_83,GitHub’s organization on GitHub
